cluster_id,intensity,rank,uri,energy,valence
1,1,16,spotify:track:1ee4KlpmhjxM9gH5E6Tc8V,0.858,0.564
1,1,17,spotify:track:24arxHaSUQgzHjEEVNdVGb,0.928,0.925
1,1,18,spotify:track:2YaAk5IAyTMk40RMqCPP87,0.654,0.818
1,1,19,spotify:track:392izppyEXgN3SZChBgRb4,0.769,0.769
1,1,20,spotify:track:6e08dACEllGrUFPmUOrayz,0.906,0.81
1,5,1,spotify:track:4EraYMlcUBiJKrg89HiUrD,0.13,0.767
1,5,2,spotify:track:1wVvpJYslRsrU1gf8g1f1m,0.797,0.919
1,5,3,spotify:track:488E8BWYDCDrL6vunOAzPy,0.837,0.642
1,5,4,spotify:track:2m6xyTEEuY68eATL3ULUie,0.795,0.819
1,5,5,spotify:track:2mScmKioilzu8k9espZ4on,0.804,0.536
1,5,6,spotify:track:0fyFTdeABJUMtQWcU0lw9K,0.828,0.785
1,5,7,spotify:track:68W2BaLihe5mOLXJejxXvf,0.798,0.767
1,5,8,spotify:track:1EtQ8AIs2pHW6FwFvtYPd7,0.538,0.599
1,5,9,spotify:track:5q71p2DydRJsSYWj60ppMH,0.744,0.639
1,5,10,spotify:track:0aYocM3CuOk22ngoRRYBVR,0.929,0.584
1,5,11,spotify:track:5rW7qTn83sCKtqBoneJs63,0.849,0.685
1,5,12,spotify:track:78e52NN1FI7JInUBxtYx3o,0.386,0.859
1,5,13,spotify:track:460Wn6Dq2uMviG5nPXtPnb,0.896,0.797
1,5,14,spotify:track:5YVAa5A1w987AIeCn6I0UI,0.831,0.961
1,5,15,spotify:track:0EVJR2QnCi41QaKLFUBGD6,0.723,0.668
1,5,16,spotify:track:4z8LOUCfjIvF5jQ8WY45Ba,0.927,0.544
1,5,17,spotify:track:3wtJQYg2HFHO9QmaAKByny,0.889,0.56
1,5,18,spotify:track:0OZavOmHT2o1A7i5TLwCbz,0.711,0.817
1,5,19,spotify:track:3s5WerS0heEMyikkSgwUqJ,0.332,0.774
1,5,20,spotify:track:2T1UmbX3ZK6iBbb9Q6ELa4,0.76,0.705
1,10,1,spotify:track:34gLdZdASlnYuCo2tWqfIj,0.449,0.865
1,10,2,spotify:track:312gG3oDwNJnj9wyaEIdK0,0.627,0.942
1,10,3,spotify:track:31Mluh8GLl7mYJMqbu10fk,0.797,0.963
1,10,4,spotify:track:1D5xzzHkm9yhWnyR7yf2Qw,0.6,0.967
1,10,5,spotify:track:6J6QyLMIoToFr1VvDpt8jo,0.867,0.703
1,10,6,spotify:track:3MmogIpfk1GVXRMmRjKLGI,0.716,0.977
1,10,7,spotify:track:3rZt7dqStfUEfjYuT2e8Nz,0.683,0.586
1,10,8,spotify:track:0JpqdvlvYLsHM5mQsS91QF,0.792,0.76
1,10,9,spotify:track:4l5P2ivUuKDTHG9muqLO4V,0.572,0.759
1,10,10,spotify:track:06bjrS9W05ppJ47NN7OgqI,0.833,0.899
1,10,11,spotify:track:3sMYwakuuSvzKIzf8fI6ny,0.644,0.591
1,10,12,spotify:track:4aWXCY2dBDULAE9yjo7Wcq,0.716,0.876
1,10,13,spotify:track:0w1ZLfc1bWMP6T00T9UWqm,0.273,0.927
1,10,14,spotify:track:3CMzipkTzyGP4g0YaEeuNd,0.585,0.706
1,10,15,spotify:track:392oYancQwjwNM4b2jfna9,0.21,0.755
1,10,16,spotify:track:1Xes5PNTjJe3mR48KUmLxY,0.935,0.838
1,10,17,spotify:track:4HbJLNbqtZI5AHKg12VtNr,0.937,0.93
1,10,18,spotify:track:5r82EGh1YcMH8Nvu4xQNxi,0.885,0.749
1,10,19,spotify:track:383Xl5QTigwj3QiA3Qc6S7,0.626,0.917
1,10,20,spotify:track:0e2HaTZ6ROWyTuudQsm5QC,0.469,0.638
2,1,1,spotify:track:2B3ytFCShO5lhqUG7oELuR,0.626,0.371
2,1,2,spotify:track:4ew9nQHcJVCHooLPfykxJp,0.643,0.412
2,1,3,spotify:track:0fgVs2FjWxf60Gk8aaoECK,0.404,0.473
2,1,4,spotify:track:4QF9pqkiRHrXbajvbr6Vdv,0.172,0.193
2,1,5,spotify:track:6SypBzVKoV15ZlB3WTQcjn,0.233,0.258
2,1,6,spotify:track:3KLKSBG6z82ftZi7hRy2PQ,0.266,0.556
2,1,7,spotify:track:0xQpjPGgrDBfgkk11s1ShS,0.396,0.0703
2,1,8,spotify:track:1H9TnUJSvc7zzP1PViaGoK,0.272,0.523
2,1,9,spotify:track:5z5DhnBr1fOm4TW7l7Mama,0.00938,0.0528
2,1,10,spotify:track:3kNIXrf4wOLxBh40tA5NtN,0.594,0.336
2,1,11,spotify:track:25P1KiKC76NMw31LP0UJAT,0.405,0.642
2,1,12,spotify:track:52EDC32R0WxNs6ju9VUqLj,0.552,0.426
2,1,13,spotify:track:7jIujRjK5JKNrMCcAvYUTN,0.777,0.238
2,1,14,spotify:track:07wbIsFWkJSfkbVFSsp7Ne,0.423,0.425
2,1,15,spotify:track:4gRDolg0FKz2drCKyqYc35,0.871,0.362
2,1,16,spotify:track:5bAZXskxJhBguI7Vqv7lHq,0.302,0.372
